C,0.02606785,,,,,,,,,,,,,,,,,,,
T,0.260678504,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
s_t values,,,,,,,,,,,,,,,,,,,,
14-Aug,0.5,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.9,0.9,0.9,
15-Aug,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.8,0.8,0.9,1.1,1.0,
16-Aug,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,1.0,1.1,1.0,
17-Aug,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.8,0.9,1.0,1.2,1.1,
18-Aug,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.8,0.8,1.0,1.2,1.1,
19-Aug,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,1.0,1.2,1.1,
20-Aug,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.8,1.0,1.2,1.1,
21-Aug,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.8,1.0,1.1,1.1,
22-Aug,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.8,0.8,1.0,1.1,1.1,
23-Aug,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.1,
24-Aug,0.4,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.1,1.2,1.1,
25-Aug,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.2,1.3,1.2,
26-Aug,0.4,0.4,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.2,1.4,1.3,
27-Aug,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.8,0.9,1.0,1.0,1.1,1.1,1.3,1.4,1.3,
28-Aug,0.3,0.3,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.7,0.8,0.9,1.0,1.1,1.2,1.2,1.4,1.5,1.4,
29-Aug,0.2,0.2,0.4,0.4,0.5,0.5,0.7,0.8,0.8,0.8,0.8,0.9,1.0,1.1,1.2,1.2,1.4,1.6,1.4,
30-Aug,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.5,1.6,1.5,
31-Aug,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.7,0.9,0.9,1.0,1.1,1.2,1.3,1.5,1.7,1.5,
1-Sep,0.3,0.2,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.8,0.9,1.0,1.1,1.2,1.3,1.3,1.5,1.7,1.6,
2-Sep,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.6,1.7,1.6,
3-Sep,0.4,0.4,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.9,1.0,1.0,1.2,1.3,1.4,1.4,1.6,1.8,1.7,
4-Sep,0.5,0.4,0.6,0.6,0.7,0.7,0.8,0.9,1.0,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.7,1.9,1.8,
5-Sep,0.4,0.5,0.6,0.6,0.7,0.7,0.8,1.0,1.0,1.0,1.1,1.1,1.2,1.3,1.5,1.6,1.8,1.9,1.8,
6-Sep,0.4,0.4,0.6,0.6,0.8,0.8,0.9,1.0,1.1,1.0,1.2,1.2,1.3,1.4,1.5,1.6,1.9,2.0,1.9,
7-Sep,0.4,0.4,0.6,0.6,0.8,0.8,0.9,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.0,
8-Sep,0.4,0.4,0.6,0.6,0.8,0.8,0.9,1.1,1.2,1.1,1.3,1.3,1.4,1.5,1.6,1.8,2.0,2.2,2.0,
9-Sep,0.3,0.3,0.6,0.6,0.8,0.8,0.9,1.1,1.1,1.1,1.3,1.3,1.5,1.5,1.7,1.8,2.0,2.2,2.1,
10-Sep,0.3,0.3,0.6,0.6,0.8,0.8,0.9,1.1,1.1,1.1,1.3,1.3,1.5,1.6,1.7,1.8,2.1,2.2,2.1,
11-Sep,0.3,0.3,0.6,0.6,0.8,0.8,0.9,1.1,1.1,1.1,1.3,1.3,1.5,1.6,1.7,1.9,2.1,2.3,2.2,
12-Sep,0.3,0.3,0.6,0.6,0.7,0.7,0.9,1.1,1.1,1.1,1.3,1.4,1.5,1.6,1.8,1.9,2.2,2.3,2.2,
13-Sep,0.4,0.4,0.6,0.7,0.8,0.8,1.0,1.1,1.2,1.1,1.3,1.4,1.6,1.7,1.8,1.9,2.2,2.4,2.3,
14-Sep,0.5,0.5,0.7,0.7,0.8,0.8,1.0,1.2,1.2,1.2,1.4,1.5,1.6,1.7,1.9,2.0,2.2,2.4,2.3,
15-Sep,0.5,0.5,0.7,0.7,0.9,0.9,1.0,1.2,1.3,1.2,1.4,1.5,1.7,1.8,1.9,2.0,2.3,2.5,2.4,
16-Sep,0.5,0.5,0.7,0.8,0.9,1.0,1.1,1.3,1.4,1.3,1.5,1.6,1.7,1.8,2.0,2.1,2.4,2.6,2.4,
17-Sep,0.6,0.6,0.8,0.9,1.0,1.0,1.2,1.4,1.4,1.4,1.5,1.6,1.8,2.0,2.1,2.2,2.5,2.7,2.6,
18-Sep,0.7,0.6,0.9,0.9,1.1,1.1,1.3,1.5,1.5,1.4,1.6,1.7,1.9,2.0,2.2,2.3,2.6,2.8,2.7,
19-Sep,0.8,0.7,1.0,1.0,1.2,1.2,1.4,1.5,1.6,1.5,1.7,1.8,2.0,2.1,2.2,2.4,2.7,2.9,2.7,
20-Sep,0.8,0.8,1.1,1.1,1.3,1.2,1.4,1.6,1.7,1.6,1.8,1.9,2.1,2.2,2.3,2.5,2.7,3.0,2.8,
21-Sep,0.9,0.9,1.2,1.2,1.4,1.3,1.5,1.7,1.8,1.7,1.9,2.0,2.2,2.3,2.4,2.5,2.8,3.1,2.9,
22-Sep,1.0,1.0,1.3,1.3,1.5,1.5,1.6,1.8,1.9,1.8,2.0,2.1,2.2,2.4,2.5,2.6,2.9,3.1,3.0,
23-Sep,1.0,1.0,1.3,1.4,1.6,1.5,1.7,1.9,2.0,1.9,2.1,2.2,2.3,2.4,2.6,2.7,3.0,3.2,3.1,
24-Sep,1.0,1.1,1.3,1.4,1.6,1.6,1.8,2.0,2.1,2.0,2.2,2.2,2.4,2.5,2.7,2.8,3.1,3.4,3.3,
25-Sep,1.0,1.1,1.4,1.5,1.6,1.7,1.9,2.1,2.2,2.1,2.3,2.4,2.6,2.6,2.8,2.9,3.2,3.5,3.4,
26-Sep,1.0,1.1,1.4,1.5,1.7,1.7,2.0,2.2,2.3,2.2,2.4,2.5,2.7,2.8,3.0,3.1,3.3,3.6,3.5,
27-Sep,1.1,1.2,1.5,1.6,1.8,1.8,2.1,2.3,2.4,2.3,2.5,2.6,2.8,2.9,3.1,3.2,3.5,3.7,3.6,
28-Sep,1.3,1.3,1.6,1.7,1.9,1.9,2.1,2.4,2.4,2.4,2.6,2.7,2.9,3.0,3.2,3.3,3.6,3.9,3.7,
29-Sep,1.4,1.5,1.8,1.8,2.0,2.0,2.3,2.5,2.6,2.5,2.7,2.8,3.0,3.1,3.4,3.5,3.8,4.0,3.9,
30-Sep,1.7,1.7,2.0,2.0,2.2,2.2,2.4,2.7,2.7,2.6,2.9,3.0,3.1,3.3,3.5,3.6,3.9,4.2,4.0,
1-Oct,1.9,1.9,2.2,2.2,2.4,2.4,2.6,2.8,2.9,2.8,3.0,3.1,3.3,3.4,3.7,3.8,4.1,4.4,4.2,
2-Oct,2.1,2.1,2.4,2.5,2.6,2.6,2.8,3.0,3.0,3.0,3.2,3.3,3.5,3.6,3.8,4.0,4.3,4.6,4.4,
3-Oct,2.1,2.2,2.5,2.6,2.7,2.7,2.9,3.2,3.2,3.1,3.3,3.4,3.6,3.8,4.0,4.2,4.5,4.7,4.6,
4-Oct,2.3,2.3,2.7,2.7,2.9,2.9,3.1,3.3,3.4,3.3,3.5,3.6,3.8,3.9,4.2,4.3,4.6,4.9,4.8,
5-Oct,2.6,2.6,2.9,2.9,3.1,3.0,3.3,3.5,3.5,3.4,3.6,3.7,3.9,4.1,4.4,4.5,4.8,5.0,4.9,
6-Oct,2.8,2.8,3.1,3.2,3.3,3.3,3.5,3.7,3.8,3.7,3.9,4.0,4.2,4.3,4.6,4.7,5.0,5.2,5.1,
7-Oct,3.1,3.1,3.4,3.4,3.6,3.6,3.8,4.0,4.0,4.0,4.2,4.2,4.4,4.5,4.8,4.9,5.2,5.5,5.3,
8-Oct,3.2,3.2,3.6,3.7,3.9,3.8,4.1,4.3,4.3,4.2,4.4,4.5,4.7,4.8,5.0,5.1,5.5,5.7,5.5,
9-Oct,3.4,3.4,3.8,3.9,4.1,4.1,4.4,4.6,4.6,4.5,4.7,4.8,5.0,5.1,5.3,5.4,5.7,6.0,5.8,
10-Oct,3.6,3.6,4.0,4.0,4.3,4.3,4.6,4.8,4.8,4.8,5.0,5.0,5.2,5.4,5.6,5.7,6.0,6.3,6.0,
11-Oct,3.8,3.8,4.2,4.2,4.4,4.4,4.7,5.0,5.0,4.9,5.2,5.3,5.5,5.6,5.8,6.0,6.3,6.5,6.3,
12-Oct,4.0,4.0,4.4,4.4,4.6,4.6,4.9,5.2,5.2,5.1,5.4,5.5,5.7,5.9,6.1,6.2,6.6,6.8,6.6,
13-Oct,4.1,4.2,4.5,4.6,4.8,4.8,5.1,5.3,5.4,5.3,5.6,5.7,6.0,6.1,6.3,6.5,6.8,7.1,6.8,
